year,municipality,type_of_debt,mean_debt_euro
2003,Pihtipudas,Loans charged on business activities or a source of income,638
2003,Saarijärvi,Loans charged on business activities or a source of income,5704
2003,Viitasaari,Loans charged on business activities or a source of income,2873
2003,Konnevesi,Loans charged on business activities or a source of income,7012
2003,Äänekoski,Loans charged on business activities or a source of income,2099
2003,Alajärvi,Loans charged on business activities or a source of income,7919
2003,Evijärvi,Loans charged on business activities or a source of income,13069
2003,Lappajärvi,Loans charged on business activities or a source of income,5777
2003,Soini,Loans charged on business activities or a source of income,7665
2003,Vimpeli,Loans charged on business activities or a source of income,6469
2003,Alavus,Loans charged on business activities or a source of income,6592
2003,Kuortane,Loans charged on business activities or a source of income,8523
2003,Ähtäri,Loans charged on business activities or a source of income,3569
2003,Ilmajoki,Loans charged on business activities or a source of income,11187
2003,Kauhava,Loans charged on business activities or a source of income,9422
2003,Kurikka,Loans charged on business activities or a source of income,8725
2003,Lapua,Loans charged on business activities or a source of income,6995
2003,Seinäjoki,Loans charged on business activities or a source of income,4434
2003,Isojoki,Loans charged on business activities or a source of income,11597
2003,Karijoki,Loans charged on business activities or a source of income,13823
2003,Kauhajoki,Loans charged on business activities or a source of income,10166
2003,Teuva,Loans charged on business activities or a source of income,10604
2003,Kruunupyy,Loans charged on business activities or a source of income,10794
2003,Luoto,Loans charged on business activities or a source of income,4636
2003,Pedersören kunta,Loans charged on business activities or a source of income,9868
2003,Pietarsaari,Loans charged on business activities or a source of income,1753
2003,Uusikaarlepyy,Loans charged on business activities or a source of income,9755
2003,Isokyrö,Loans charged on business activities or a source of income,7828
2003,Laihia,Loans charged on business activities or a source of income,3981
2003,Kaskinen,Loans charged on business activities or a source of income,1874
2003,Kristiinankaupunki,Loans charged on business activities or a source of income,10199
2003,Närpiö,Loans charged on business activities or a source of income,17106
2003,Korsnäs,Loans charged on business activities or a source of income,6473
2003,Maalahti,Loans charged on business activities or a source of income,8848
2003,Mustasaari,Loans charged on business activities or a source of income,5769
2003,Vaasa,Loans charged on business activities or a source of income,2151
2003,Vöyri,Loans charged on business activities or a source of income,13110
2003,Hirvensalmi,Loans charged on business activities or a source of income,9306
2003,Kangasniemi,Loans charged on business activities or a source of income,5067
2003,Mikkeli,Loans charged on business activities or a source of income,3200
