"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2007","Kittilä","Housing loans","All household-dwelling units",64032827,23690
"2007","Kittilä","Other debts","All household-dwelling units",28706504,10620
"2007","Kittilä","Loans charged on business activities or a source of income","All household-dwelling units",5934661,2196
"2007","Kittilä","Study loans","All household-dwelling units",1488984,551
"2007","Kolari","Debts total","All household-dwelling units",45603925,26953
"2007","Kolari","Housing loans","All household-dwelling units",24049478,14214
"2007","Kolari","Other debts","All household-dwelling units",17848691,10549
"2007","Kolari","Loans charged on business activities or a source of income","All household-dwelling units",2615530,1546
"2007","Kolari","Study loans","All household-dwelling units",1090240,644
"2007","Muonio","Debts total","All household-dwelling units",34947002,33995
"2007","Muonio","Housing loans","All household-dwelling units",21962120,21364
"2007","Muonio","Other debts","All household-dwelling units",9995748,9723
"2007","Muonio","Loans charged on business activities or a source of income","All household-dwelling units",2357694,2293
"2007","Muonio","Study loans","All household-dwelling units",631442,614
"2007","Maarianhamina - Mariehamn","Debts total","All household-dwelling units",275600530,49937
"2007","Maarianhamina - Mariehamn","Housing loans","All household-dwelling units",189366276,34312
"2007","Maarianhamina - Mariehamn","Other debts","All household-dwelling units",55425773,10043
"2007","Maarianhamina - Mariehamn","Loans charged on business activities or a source of income","All household-dwelling units",22302019,4041
"2007","Maarianhamina - Mariehamn","Study loans","All household-dwelling units",8506453,1541
"2007","Eckerö","Debts total","All household-dwelling units",22789114,56131
"2007","Eckerö","Housing loans","All household-dwelling units",14460196,35616
"2007","Eckerö","Other debts","All household-dwelling units",5980149,14729
"2007","Eckerö","Loans charged on business activities or a source of income","All household-dwelling units",1884337,4641
"2007","Eckerö","Study loans","All household-dwelling units",464438,1144
"2007","Finström","Debts total","All household-dwelling units",84361868,80884
"2007","Finström","Housing loans","All household-dwelling units",53253618,51058
"2007","Finström","Other debts","All household-dwelling units",14777565,14168
"2007","Finström","Loans charged on business activities or a source of income","All household-dwelling units",15382753,14749
"2007","Finström","Study loans","All household-dwelling units",947931,909
"2007","Geta","Debts total","All household-dwelling units",11378909,57180
"2007","Geta","Housing loans","All household-dwelling units",6582373,33077
"2007","Geta","Other debts","All household-dwelling units",3296501,16565
"2007","Geta","Loans charged on business activities or a source of income","All household-dwelling units",1338916,6728
"2007","Geta","Study loans","All household-dwelling units",161122,810
"2007","Hammarland","Debts total","All household-dwelling units",40423639,64885
"2007","Hammarland","Housing loans","All household-dwelling units",25801486,41415
"2007","Hammarland","Other debts","All household-dwelling units",8914317,14309
"2007","Hammarland","Loans charged on business activities or a source of income","All household-dwelling units",5069594,8137
"2007","Hammarland","Study loans","All household-dwelling units",638251,1024
"2007","Jomala","Debts total","All household-dwelling units",135290302,90921
"2007","Jomala","Housing loans","All household-dwelling units",101969146,68528
"2007","Jomala","Other debts","All household-dwelling units",21635495,14540
"2007","Jomala","Loans charged on business activities or a source of income","All household-dwelling units",9939539,6680
"2007","Jomala","Study loans","All household-dwelling units",1746106,1173
"2007","Lemland","Debts total","All household-dwelling units",56603085,82392
"2007","Lemland","Housing loans","All household-dwelling units",42492119,61852
"2007","Lemland","Other debts","All household-dwelling units",9259813,13479
"2007","Lemland","Loans charged on business activities or a source of income","All household-dwelling units",3969883,5779
"2007","Lemland","Study loans","All household-dwelling units",881271,1283
"2007","Lumparland","Debts total","All household-dwelling units",11933389,68979
"2007","Lumparland","Housing loans","All household-dwelling units",9072547,52442
"2007","Lumparland","Other debts","All household-dwelling units",1882061,10879
"2007","Lumparland","Loans charged on business activities or a source of income","All household-dwelling units",884418,5112
"2007","Lumparland","Study loans","All household-dwelling units",94365,545
"2007","Saltvik","Debts total","All household-dwelling units",49453261,66202
"2007","Saltvik","Housing loans","All household-dwelling units",32249545,43172
"2007","Saltvik","Other debts","All household-dwelling units",11797811,15794
"2007","Saltvik","Loans charged on business activities or a source of income","All household-dwelling units",4520934,6052
"2007","Saltvik","Study loans","All household-dwelling units",884983,1185
"2007","Sund","Debts total","All household-dwelling units",29325556,61608
"2007","Sund","Housing loans","All household-dwelling units",20779473,43654
"2007","Sund","Other debts","All household-dwelling units",5308175,11152
"2007","Sund","Loans charged on business activities or a source of income","All household-dwelling units",2804354,5892
"2007","Sund","Study loans","All household-dwelling units",433539,911
"2007","Brändö","Debts total","All household-dwelling units",7867314,34658
"2007","Brändö","Housing loans","All household-dwelling units",3813460,16799
"2007","Brändö","Other debts","All household-dwelling units",2383937,10502
"2007","Brändö","Loans charged on business activities or a source of income","All household-dwelling units",1580226,6961
"2007","Brändö","Study loans","All household-dwelling units",89698,395
"2007","Föglö","Debts total","All household-dwelling units",10239190,38064
"2007","Föglö","Housing loans","All household-dwelling units",5444988,20242
"2007","Föglö","Other debts","All household-dwelling units",2875894,10691
"2007","Föglö","Loans charged on business activities or a source of income","All household-dwelling units",1716099,6380
"2007","Föglö","Study loans","All household-dwelling units",202207,752
"2007","Kumlinge","Debts total","All household-dwelling units",4307799,24201
"2007","Kumlinge","Housing loans","All household-dwelling units",2186791,12285
"2007","Kumlinge","Other debts","All household-dwelling units",1465271,8232
"2007","Kumlinge","Loans charged on business activities or a source of income","All household-dwelling units",491500,2761
"2007","Kumlinge","Study loans","All household-dwelling units",164227,923
"2007","Kökar","Debts total","All household-dwelling units",4602147,35676
"2007","Kökar","Housing loans","All household-dwelling units",2033844,15766
"2007","Kökar","Other debts","All household-dwelling units",1997399,15484
"2007","Kökar","Loans charged on business activities or a source of income","All household-dwelling units",474802,3681
"2007","Kökar","Study loans","All household-dwelling units",96112,745
"2007","Sottunga","Debts total","All household-dwelling units",1437750,25674
"2007","Sottunga","Housing loans","All household-dwelling units",331565,5921
"2007","Sottunga","Other debts","All household-dwelling units",528710,9441
"2007","Sottunga","Loans charged on business activities or a source of income","All household-dwelling units",513669,9173
"2007","Sottunga","Study loans","All household-dwelling units",63806,1139
"2007","Vårdö","Debts total","All household-dwelling units",10957985,55908
"2007","Vårdö","Housing loans","All household-dwelling units",4705567,24008
"2007","Vårdö","Other debts","All household-dwelling units",3579221,18261
"2007","Vårdö","Loans charged on business activities or a source of income","All household-dwelling units",2535033,12934
"2007","Vårdö","Study loans","All household-dwelling units",138154,705
"2008","Espoo","Debts total","All household-dwelling units",7353376694,69956
"2008","Espoo","Housing loans","All household-dwelling units",5716191974,54381
"2008","Espoo","Other debts","All household-dwelling units",1281937455,12196
"2008","Espoo","Loans charged on business activities or a source of income","All household-dwelling units",268229799,2552
